"uniprot_id","gene","super_id","start_site","end_site","e-value"
"Q9BQA5","HINFP","0045110","309","369","1.44e-05"
"Q9BTC8","MTA3","0052261","269","321","4.33e-12"
"Q9BTC8","MTA3","0048088","7","139","1.83e-04"
"Q9BTC8","MTA3","0045592","375","415","8.55e-03"
"Q9BY41","HDAC8","0043894","17","375","8.63e-110"
"Q9BY66","KDM5D","0047105","440","645","1.92e-35"
"Q9BY66","KDM5D","0046063","60","183","7.33e-32"
"Q9BY66","KDM5D","0050474","301","368","5.54e-17"
"Q9BY66","KDM5D","0050473","1169","1241","1.06e-11"
"Q9BYW2","SETD2","0048183","1467","1687","3.14e-69"
"Q9BYW2","SETD2","0038884","2388","2422","2.50e-09"
"Q9BYW2","SETD2","0040938","1284","1340","1.95e-04"
"Q9BZ95","WHSC1L1","0048228","1063","1275","3.14e-71"
"Q9BZ95","WHSC1L1","0047802","950","1078","1.32e-31"
"Q9BZ95","WHSC1L1","0047802","261","420","1.68e-26"
"Q9BZ95","WHSC1L1","0050473","1298","1366","5.98e-12"
"Q9BZ95","WHSC1L1","0050474","916","967","2.66e-09"
"Q9BZ95","WHSC1L1","0050474","698","756","1.55e-08"
"Q9BZ95","WHSC1L1","0037717","750","806","7.30e-03"
"Q9C0A6","SETD5","0048183","259","406","3.01e-27"
"Q9H160","ING2","0050473","177","259","8.64e-25"
"Q9H160","ING2","0047811","46","108","5.10e-03"
"Q9H3R0","KDM4C","0047105","63","331","3.98e-40"
"Q9H3R0","KDM4C","0052883","879","935","8.65e-22"
"Q9H3R0","KDM4C","0054623","936","991","7.15e-16"
"Q9H3R0","KDM4C","0050463","711","749","5.98e-05"
"Q9H5I1","SUV39H2","0048228","130","375","1.44e-79"
"Q9H5I1","SUV39H2","0036680","34","98","4.58e-20"
"Q9H7B4","SMYD3","0040998","6","262","4.58e-35"
"Q9H7Z6","KAT8","0053259","177","445","1.94e-112"
"Q9H7Z6","KAT8","0050533","49","175","3.16e-40"
"Q9H981","ACTR8","0051254","277","400","1.43e-44"
"Q9H981","ACTR8","0037166","48","85","5.18e-15"
"Q9H9B1","EHMT1","0048228","1003","1258","2.07e-83"
"Q9H9B1","EHMT1","0053922","741","984","9.95e-72"
"Q9H9F9","ACTR5","0039963","181","280","8.64e-60"
"Q9H9F9","ACTR5","0039962","32","176","8.09e-29"
"Q9H9V9","JMJD4","0047105","78","373","4.81e-58"
"Q9NQR1","SETD8","0041233","263","383","1.96e-34"
"Q9NQV7","PRDM9","0050784","561","617","4.27e-24"
"Q9NQV7","PRDM9","0050784","729","785","2.72e-24"
"Q9NQV7","PRDM9","0050784","785","841","3.58e-24"
"Q9NQV7","PRDM9","0050784","673","729","1.12e-23"
"Q9NQV7","PRDM9","0050784","617","673","1.35e-22"
"Q9NQV7","PRDM9","0050784","841","892","1.06e-20"
"Q9NQV7","PRDM9","0052279","525","574","9.10e-16"
"Q9NQV7","PRDM9","0044637","27","79","7.19e-10"
"Q9NQV7","PRDM9","0041233","245","364","3.11e-07"
"Q9NR22","PRMT8","0048629","79","393","3.06e-98"
"Q9NR48","ASH1L","0048183","2069","2282","2.75e-65"
"Q9NR48","ASH1L","0046608","2444","2556","1.31e-21"
"Q9NR48","ASH1L","0050470","2576","2640","1.28e-13"
"Q9NRC8","SIRT7","0047535","62","363","1.27e-72"
"Q9NRG0","CHRAC1","0052078","28","97","9.52e-21"
"Q9NRG4","SMYD2","0040998","8","263","7.03e-43"
"Q9NRG4","SMYD2","0054057","344","416","2.85e-05"
"Q9NTG7","SIRT3","0047535","124","394","3.50e-86"
"Q9NVD3","SETD4","0040998","35","289","2.45e-56"
"Q9NVM4","PRMT7","0048629","33","375","3.70e-48"
"Q9NVM4","PRMT7","0048629","379","689","5.41e-39"
"Q9NWT6","HIF1AN","0047105","19","348","8.51e-73"
"Q9NXA8","SIRT5","0053226","38","299","1.83e-81"
"Q9NXR8","ING3","0050473","344","411","2.17e-24"
"Q9NXR8","ING3","0041569","33","80","2.35e-03"
"Q9UBB5","MBD2","0049847","130","243","1.57e-32"
"Q9UBC3","DNMT3B","0045633","568","851","2.08e-38"
"Q9UBC3","DNMT3B","0047802","216","351","1.68e-38"
"Q9UBC3","DNMT3B","0037717","470","542","3.45e-05"
"Q9UBN7","HDAC6","0054863","478","834","1.15e-112"
"Q9UBN7","HDAC6","0054863","86","417","8.63e-106"
"Q9UBN7","HDAC6","0053934","1110","1206","5.30e-23"
"Q9UGL1","KDM5B","0047105","370","389","9.61e-40"
"Q9UGL1","KDM5B","0046063","77","193","4.06e-29"
"Q9UGL1","KDM5B","0050474","308","365","2.67e-16"
"Q9UGL1","KDM5B","0050473","1156","1224","4.11e-13"
"Q9UGL1","KDM5B","0050473","1472","1538","2.47e-12"
"Q9UIS9","MBD1","0049847","2","103","5.89e-26"
"Q9UK53","ING1","0050473","319","400","9.87e-25"
"Q9UK96","FBXO10","0049244","727","893","6.98e-17"
"Q9UK96","FBXO10","0054423","6","80","3.01e-16"
"Q9UK96","FBXO10","0048970","542","678","1.36e-15"
"Q9UK96","FBXO10","0049244","425","573","1.52e-15"
"Q9UK96","FBXO10","0048970","108","254","3.14e-12"
"Q9UKN8","GTF3C4","0049440","263","356","6.64e-07"
"Q9UKV0","HDAC9","0054863","632","1005","1.97e-113"
"Q9ULG1","INO80","0051485","748","838","5.45e-70"
"Q9ULG1","INO80","0051486","506","746","3.16e-63"
"Q9UMN6","KMT2B","0041233","2562","2715","7.59e-47"
"Q9UMN6","KMT2B","0050474","1237","1308","1.20e-10"
"Q9UMN6","KMT2B","0050474","1334","1405","3.77e-09"
"Q9UMN6","KMT2B","0037717","1200","1251","3.99e-04"
"Q9UNL4","ING4","0050473","166","248","2.88e-26"
"Q9UPP1","PHF8","0047105","146","417","2.20e-58"
"Q9UPP1","PHF8","0050470","37","101","3.54e-19"
"Q9UPS6","SETD1B","0048183","1822","1963","1.31e-46"
"Q9UPS6","SETD1B","0047197","81","178","5.02e-17"
"Q9UPS6","SETD1B","0044554","1588","1597","2.88e-04"
"Q9UQL6","HDAC5","0054863","682","1062","2.54e-116"
"Q9Y230","RUVBL2","0037926","44","433","1.50e-37"
"Q9Y232","CDYL","0038654","342","585","4.10e-56"
"Q9Y232","CDYL","0051887","57","117","1.26e-19"
"Q9Y265","RUVBL1","0036850","37","152","1.31e-36"
"Q9Y2K7","KDM2A","0047105","62","343","1.17e-54"
"Q9Y2K7","KDM2A","0037738","909","1150","3.92e-27"
"Q9Y2K7","KDM2A","0050474","613","679","6.99e-07"
"Q9Y4C1","KDM3A","0047105","962","1132","1.51e-48"
"Q9Y4C1","KDM3A","0053909","660","692","4.94e-03"
"Q9Y5K5","UCHL5","0050922","6","226","1.57e-71"
"Q9Y6E7","SIRT4","0047535","28","311","2.23e-84"
"Q9Y6F8","CDY1","0038654","284","529","5.64e-55"
"Q9Y6F8","CDY1","0051887","3","63","1.78e-18"
"Q9Y6K1","DNMT3A","0045633","626","910","1.99e-41"
"Q9Y6K1","DNMT3A","0047802","283","424","2.35e-38"
"Q9Y6K1","DNMT3A","0037717","529","597","5.18e-04"
"Q9Y6Q9","NCOA3","0053766","1042","1090","2.16e-17"
"Q9Y6Q9","NCOA3","0048579","265","370","5.52e-17"
"Q9Y6Q9","NCOA3","0048579","121","186","3.93e-13"
"Q9Y6Q9","NCOA3","0035101","34","90","3.34e-06"
"A4FU79","ARID1A","0051071","27","130","6.99e-07"
"A7E2E1","SMARCA4","0051485","981","1240","2.88e-67"
"A7E2E1","SMARCA4","0051486","735","979","2.89e-61"
"A7E2E1","SMARCA4","0046608","1442","1569","3.66e-32"
"A7E2E1","SMARCA4","0054691","601","673","1.70e-21"
"B4DKA4","ELP3","0048596","47","286","4.05e-30"
"B4DKA4","ELP3","0048674","282","470","3.48e-09"
"O14607","UTY","0047105","904","992","3.57e-44"
"O14607","UTY","0051253","145","330","1.90e-23"
"O14607","UTY","0049644","314","375","2.47e-08"
"O14607","UTY","0046495","72","158","4.93e-06"
"O14686","KMT2D","0041233","5379","5537","9.42e-49"
"O14686","KMT2D","0050474","1420","1480","5.09e-14"
"O14686","KMT2D","0050474","272","326","1.09e-12"
"O14686","KMT2D","0050470","1495","1564","1.24e-09"
"O14686","KMT2D","0050474","1374","1428","1.17e-08"
"O14686","KMT2D","0050474","215","274","6.48e-08"
"O14686","KMT2D","0035973","2022","2072","2.23e-06"
"O14744","PRMT5","0048629","323","636","9.33e-49"
"O14929","HAT1","0035638","23","338","7.43e-94"
"O15047","SETD1A","0048183","1564","1704","1.11e-43"
"O15047","SETD1A","0047197","68","168","6.17e-12"
"O15054","KDM6B","0047105","1198","1290","5.63e-44"
"O15054","KDM6B","0052670","96","152","2.39e-03"
"O15379","HDAC3","0043894","4","369","2.40e-122"
"O15550","KDM6A","0047105","954","1045","1.62e-46"
"O15550","KDM6A","0051253","110","327","2.47e-23"
"O15550","KDM6A","0049644","317","379","1.79e-08"
"O43463","SUV39H1","0048228","143","369","3.01e-82"
"O43463","SUV39H1","0036680","30","92","8.61e-16"
"O43593","HR","0047105","860","1009","9.06e-25"
"O60264","SMARCA5","0051485","397","678","5.33e-78"
"O60264","SMARCA5","0051486","168","395","8.91e-65"
"O60264","SMARCA5","0048555","896","1021","2.19e-48"
"O60264","SMARCA5","0041827","744","843","5.49e-31"
"O60264","SMARCA5","0041825","844","894","1.42e-13"
"O60341","KDM1A","0053857","276","670","6.22e-98"
"O60341","KDM1A","0052200","171","277","1.79e-30"
"O60341","KDM1A","0053858","655","763","1.77e-30"
"O60502","MGEA5","0052139","60","353","8.63e-108"
"O60502","MGEA5","0049804","717","914","3.74e-09"
"O60678","PRMT3","0048629","223","525","5.08e-91"
"O60678","PRMT3","0050596","34","149","3.33e-36"
"O75151","PHF2","0047105","57","382","1.79e-53"
"O75151","PHF2","0050470","4","69","3.54e-19"
"O75164","KDM4A","0047105","67","325","8.24e-40"
"O75164","KDM4A","0052883","898","955","6.52e-22"
"O75164","KDM4A","0054623","956","1011","2.01e-16"
"O75164","KDM4A","0050472","732","768","2.44e-07"
"O75164","KDM4A","0050467","818","873","6.81e-03"
"O94776","MTA2","0052261","266","318","4.18e-12"
"O94776","MTA2","0045592","362","405","2.57e-03"
"O94776","MTA2","0048088","7","138","4.58e-03"
"O94805","ACTL6B","0046054","161","212","1.08e-62"
"O94805","ACTL6B","0039962","9","167","1.53e-43"
"O94953","KDM4B","0047105","66","329","1.18e-39"
"O94953","KDM4B","0052883","919","975","3.91e-20"
"O94953","KDM4B","0054623","976","1031","4.41e-14"
"O94953","KDM4B","0037717","754","792","2.21e-06"
"O94953","KDM4B","0050475","844","886","1.15e-03"
"O95243","MBD4","0048358","439","576","4.19e-34"
"O95243","MBD4","0049847","60","180","6.21e-33"
"O95251","KAT7","0053259","337","605","2.18e-115"
"O95251","KAT7","0042508","182","224","1.83e-14"
"O95983","MBD3","0049847","6","96","4.90e-28"
"O96019","ACTL6A","0046054","164","215","8.03e-61"
"O96019","ACTL6A","0039962","9","170","2.98e-43"
"O96028","WHSC1","0048228","982","1193","3.66e-73"
"O96028","WHSC1","0047802","219","368","9.63e-27"
"O96028","WHSC1","0047119","875","976","4.33e-26"
"O96028","WHSC1","0050474","821","887","5.09e-14"
"O96028","WHSC1","0050473","1216","1283","3.77e-12"
"O96028","WHSC1","0035973","438","507","3.01e-11"
"O96028","WHSC1","0050473","659","711","2.44e-09"
"P0C870","JMJD7","0047105","22","307","1.65e-55"
"P21675","TAF1","0046609","1514","1617","7.59e-34"
"P21675","TAF1","0046608","1361","1492","8.63e-32"
"P21675","TAF1","0043927","30","86","7.72e-18"
"P25490","YY1","0050784","333","388","7.35e-20"
"P25490","YY1","0044259","295","322","2.83e-09"
"P25490","YY1","0045966","377","411","6.37e-09"
"P26358","DNMT1","0046923","1138","1441","1.04e-83"
"P28370","SMARCA1","0051485","400","692","1.72e-73"
"P28370","SMARCA1","0051486","169","398","1.89e-65"
"P28370","SMARCA1","0048555","911","1035","6.09e-46"
"P28370","SMARCA1","0041827","759","858","1.20e-32"
"P28370","SMARCA1","0041825","859","909","7.75e-15"
